CompAA_nuCelprot,hydrophathy_index_,NEIG_index,KD_Hydrophobicity,Modified_KD_hydrophob_scale,solubility_index,Partition_coeff,basic_aa_count,charge_value,positive_charge,Polarity,nHbondDonors,instability_index,pI,8AcontactNumber,percentExposedResidues,FreeEnergySolutionWater,pK(_COOH),SideChainHydropathyCorrectSolvation,Avrg_FlexibilityIndices,peptide_disorder_percentage,Citrullination_aa_count,msd
5.466666667,-1.433333333,49.48888889,-12.9,-1.61,-1.433333333,-2.72,4,2.59152348,0.444444444,23.74444444,1.666666667,30.28888889,7.516666667,-0.01,45.22222222,0.132,1.95,0.89,0.436111111,44.44444444,2,1
5.911111111,-0.288888889,52.5,-2.6,-0.455555556,-0.288888889,-2.698888889,3,2.505865185,0.333333333,18.05555556,1.555555556,79.11111111,7.295555556,0.552222222,34.88888889,1.314111111,1.77,0.394444444,0.439666667,22.22222222,3,1
7.111111111,-1.422222222,48.80777778,-12.8,-1.626666667,-1.422222222,-3.018888889,2,1.250672483,0.222222222,12.46555556,1.333333333,24.44444444,6.941111111,-0.247777778,37.88888889,-0.147888889,1.972222222,0.68,0.482888889,44.44444444,2,1
6.4,0.7,51.65888889,6.3,0.573333333,0.7,-2.435555556,2,1.253178076,0.222222222,11.98222222,1,20.85555556,6.923333333,0.353333333,28,0.127555556,2.006666667,-0.583333333,0.426,11.11111111,2,1
5.277777778,0.966666667,52.36333333,8.7,0.795555556,0.966666667,-2.522222222,2,0.559752144,0.222222222,11.77777778,0.666666667,-9.977777778,6.6,0.422222222,23.22222222,0.081111111,2.067777778,-0.747777778,0.416111111,11.11111111,1,1
5.833333333,0.122222222,51.04222222,1.1,-0.047777778,0.122222222,-2.601111111,2,1.530418789,0.222222222,12.05333333,0.888888889,-13.71111111,6.825555556,0.281111111,34.55555556,0.414222222,2.061111111,-0.388888889,0.455555556,33.33333333,1,1
5.433333333,0.4,51.04777778,3.6,0.333333333,0.4,-2.517777778,1,-0.44145149,0.111111111,12.11555556,0.888888889,118.5,6.145555556,0.198888889,33.55555556,0.098222222,2.093333333,-0.514444444,0.459777778,33.33333333,1,1
4.955555556,0.844444444,53.52555556,7.6,0.733333333,0.844444444,-2.44,2,1.532899264,0.222222222,12.03555556,1,35.2,6.865555556,0.698888889,24.22222222,0.645333333,1.946666667,-0.762222222,0.413888889,11.11111111,2,1
5.4,-0.488888889,50.60777778,-4.4,-0.444444444,-0.488888889,-2.476666667,1,0.557427749,0.111111111,7.22,1.222222222,59.42222222,6.35,0.182222222,31.66666667,0.501888889,2.137777778,-0.721111111,0.417444444,44.44444444,1,1
6.977777778,-0.744444444,50.04444444,-6.7,-0.972222222,-0.744444444,-2.928888889,3,2.530393671,0.333333333,17.60444444,1.333333333,38.21111111,7.288888889,0.041111111,36.55555556,0.235888889,1.948888889,0.47,0.454111111,22.22222222,2,1
5.222222222,-0.1,50.63444444,-0.9,-0.197777778,-0.1,-2.577777778,1,-0.466629134,0.111111111,12.41333333,1,62.83333333,5.916666667,0.202222222,32.66666667,1.009666667,2.023333333,-0.33,0.421333333,22.22222222,1,1
5.488888889,-0.066666667,49.79777778,-0.6,-0.167777778,-0.066666667,-2.522222222,2,0.555368641,0.222222222,17.38777778,0.888888889,49.33333333,6.501111111,-0.038888889,37.22222222,0.173777778,2.044444444,-0.52,0.450555556,44.44444444,1,1
4.644444444,0.388888889,50.81222222,3.5,0.244444444,0.388888889,-2.395555556,1,0.284863365,0.111111111,6.938888889,0.888888889,-7.811111111,6.222222222,0.155555556,28.44444444,0.344888889,2.015555556,-0.564444444,0.377222222,22.22222222,1,1
4.944444444,0.555555556,51.28888889,5,0.408888889,0.555555556,-2.407777778,1,0.523125703,0.111111111,6.731111111,0.666666667,43.31111111,6.395555556,0.291111111,28.44444444,0.012222222,2.078888889,-0.742222222,0.416777778,22.22222222,1,1
6.3,-0.066666667,50.87333333,-0.6,-0.288888889,-0.066666667,-2.45,2,1.284838246,0.222222222,12.15222222,1,92.82222222,7.042222222,0.277777778,30.33333333,-0.088555556,2.045555556,-0.578888889,0.422,22.22222222,2,1
5.611111111,-0.5,49.35333333,-4.5,-0.616666667,-0.5,-2.576666667,2,0.556042918,0.222222222,17.27444444,0.888888889,69.67777778,6.514444444,-0.122222222,36.33333333,0.098444444,2,-0.393333333,0.453222222,33.33333333,1,1
6.011111111,-1.055555556,49.01888889,-9.5,-1.202222222,-1.055555556,-2.738888889,1,-0.357127066,0.111111111,12.42888889,0.888888889,76.67777778,6.098888889,-0.08,36.77777778,0.229555556,1.996666667,-0.127777778,0.470666667,44.44444444,1,1
7.377777778,0.033333333,49.15444444,0.3,0,0.033333333,-2.561111111,1,0.557427749,0.111111111,6.753333333,0.777777778,86.11111111,6.426666667,-0.138888889,32.77777778,-0.431333333,2.037777778,-0.954444444,0.456888889,55.55555556,1,1
7.377777778,0.033333333,49.15444444,0.3,0,0.033333333,-2.561111111,1,0.557427749,0.111111111,6.753333333,0.777777778,86.11111111,6.426666667,-0.138888889,32.77777778,-0.431333333,2.037777778,-0.954444444,0.456888889,55.55555556,1,1
5,-0.855555556,51.44777778,-7.7,-1.071111111,-0.855555556,-2.767777778,3,1.29696132,0.333333333,17.84555556,1.111111111,28.37777778,7.081111111,0.335555556,27.22222222,0.367555556,1.945555556,0.185555556,0.419111111,22.22222222,2,1
4.944444444,0.566666667,52.27111111,5.1,0.5,0.566666667,-2.315555556,3,0.606177264,0.333333333,17.67555556,0.777777778,45.11111111,6.674444444,0.55,25.55555556,0.863333333,1.942222222,-0.961111111,0.374888889,22.22222222,1,1
5.588888889,-1.811111111,48.72,-16.3,-2.051111111,-1.811111111,-2.74,3,1.594029072,0.333333333,18.59777778,1.444444444,98.57777778,7.19,-0.13,44.88888889,-0.446777778,1.9,0.64,0.451777778,55.55555556,2,1
6.288888889,-0.533333333,50.02222222,-4.8,-0.766666667,-0.533333333,-2.763333333,2,-0.466207768,0.222222222,22.97777778,1.222222222,-7.811111111,6.192222222,0.103333333,35.33333333,0.929111111,1.91,0.198888889,0.439666667,22.22222222,2,1
4.644444444,-1.377777778,48.81222222,-12.4,-1.401111111,-1.377777778,-2.538888889,3,-0.681279858,0.333333333,28.51555556,1.111111111,68.85555556,6.321111111,-0.054444444,41.88888889,1.132888889,1.966666667,0.425555556,0.406111111,55.55555556,1,1
4.233333333,-0.8,50.47555556,-7.2,-0.833333333,-0.8,-2.692222222,1,-0.359632659,0.111111111,12.65444444,1.222222222,60.53444444,5.852222222,0.087777778,35.66666667,1.336777778,1.95,0.278888889,0.437555556,44.44444444,1,1
5.944444444,-0.7,49.65555556,-6.3,-0.726666667,-0.7,-2.815555556,1,0.282357772,0.111111111,7.061111111,1.111111111,-0.544444444,6.282222222,-0.076666667,33.22222222,0.448111111,2.1,0.247777778,0.452666667,44.44444444,1,1
6.022222222,-0.311111111,49.69777778,-2.8,-0.571111111,-0.311111111,-2.492222222,1,0.557427749,0.111111111,6.927777778,0.777777778,58.52222222,6.513333333,0.077777778,32.88888889,-0.243222222,2.114444444,-0.708888889,0.413222222,44.44444444,1,1
5.177777778,-1.122222222,49.73222222,-10.1,-1.128888889,-1.122222222,-2.584444444,1,-0.444631359,0.111111111,12.32111111,1,57.71111111,6.1,0.058888889,32.77777778,0.769,2.116666667,-0.438888889,0.443888889,66.66666667,1,1
5.855555556,-0.988888889,49.60111111,-8.9,-1.023333333,-0.988888889,-2.768888889,2,0.640367341,0.222222222,17.59555556,1,81.64444444,6.507777778,0.04,36.66666667,0.442444444,2.048888889,-0.062222222,0.454333333,55.55555556,1,1
